************************************************************************
file with basedata            : mm44_.bas
initial value random generator: 1556073684
************************************************************************
projects                      :  1
jobs (incl. supersource/sink ):  12
horizon                       :  85
RESOURCES
  - renewable                 :  2   R
  - nonrenewable              :  2   N
  - doubly constrained        :  0   D
************************************************************************
PROJECT INFORMATION:
pronr.  #jobs rel.date duedate tardcost  MPM-Time
    1     10      0       19        3       19
************************************************************************
PRECEDENCE RELATIONS:
jobnr.    #modes  #successors   successors
   0        1          3           1   2   3
   1        3          1           9
   2        3          1           4
   3        3          2           4   5
   4        3          2           6   7
   5        3          1           8
   6        3          2           8   9
   7        3          3           8   9  10
   8        3          1          11
   9        3          1          11
  10        3          1          11
  11        1          0        
************************************************************************
REQUESTS/DURATIONS:
jobnr. mode duration  R 1  R 2  R 3  R 4  E(W 1)  E(W 2)
------------------------------------------------------------------------
  0      1     0       0    0    0    0     0       0
  1      1     8       9    9    9    0    144      72
  2      1     4      10    6    0    6    64      24
  3      1     3       3    6    4    0    27      12
  4      1     3       9    8    0    4    51      12
  5      1     1       8    9    0    4    17       4
  6      1     5       9    8    9    0    85      45
  7      1     6       4    6    0    7    60      42
  8      1     5       8    9    6    0    85      30
  9      1     3       3    7    0    9    30      27
 10      1     6       3   10    0    9    78      54
 11      1     0       0    0    0    0     0       0
************************************************************************
RESOURCEAVAILABILITIES:
  R 1  R 2
   36   111
************************************************************************
RESOURCE LIMITS:
jobnr.  l(R 1)  u(R 1)  l(R 2)  u(R 2)
------------------------------------------------------------------------
  0        0       0       0       0
  1       10      18       5       9
  2        8      16       3       6
  3        5       9       2       4
  4        9      17       2       4
  5        9      17       2       4
  6        9      17       5       9
  7        5      10       4       7
  8        9      17       3       6
  9        6      10       5       9
 10        7      13       5       9
 11        0       0       0       0
************************************************************************
SCENARIOS:
------------------------------------------------------------------------
RESOURCE k = 1
s = 1: (0, 155, 41, 19, 46, 13, 98, 81, 106, 29, 117, 0)
s = 2: (0, 96, 52, 28, 57, 23, 98, 51, 52, 27, 76, 0)
s = 3: (0, 138, 81, 28, 46, 15, 68, 55, 89, 33, 60, 0)
s = 4: (0, 122, 121, 28, 83, 20, 66, 36, 60, 38, 70, 0)
s = 5: (0, 80, 68, 32, 38, 16, 63, 61, 72, 26, 54, 0)
s = 6: (0, 97, 65, 37, 36, 20, 104, 47, 63, 52, 79, 0)
s = 7: (0, 139, 60, 17, 63, 13, 64, 58, 133, 34, 99, 0)
s = 8: (0, 108, 48, 22, 72, 23, 92, 67, 89, 28, 90, 0)
s = 9: (0, 266, 66, 34, 50, 17, 56, 38, 123, 39, 88, 0)
s = 10: (0, 169, 38, 39, 28, 18, 95, 56, 101, 31, 59, 0)
s = 11: (0, 149, 73, 26, 56, 14, 61, 92, 71, 20, 71, 0)
s = 12: (0, 132, 90, 19, 61, 20, 111, 61, 88, 29, 62, 0)
s = 13: (0, 147, 41, 30, 74, 26, 87, 67, 125, 35, 77, 0)
s = 14: (0, 107, 80, 38, 65, 10, 60, 93, 148, 40, 65, 0)
s = 15: (0, 160, 70, 21, 34, 18, 105, 77, 77, 34, 79, 0)
s = 16: (0, 99, 79, 17, 35, 13, 60, 58, 67, 31, 116, 0)
s = 17: (0, 112, 44, 32, 32, 10, 61, 83, 89, 32, 99, 0)
s = 18: (0, 111, 79, 22, 49, 15, 126, 45, 98, 23, 74, 0)
s = 19: (0, 145, 46, 37, 61, 17, 63, 59, 95, 35, 92, 0)
s = 20: (0, 134, 97, 30, 31, 25, 63, 37, 67, 20, 71, 0)
s = 21: (0, 231, 103, 45, 35, 19, 121, 37, 89, 25, 96, 0)
s = 22: (0, 87, 50, 43, 80, 18, 75, 90, 77, 35, 95, 0)
s = 23: (0, 102, 63, 16, 45, 16, 84, 49, 79, 28, 54, 0)
s = 24: (0, 138, 59, 41, 39, 15, 93, 42, 85, 44, 94, 0)
s = 25: (0, 195, 65, 28, 50, 14, 81, 92, 97, 42, 56, 0)
s = 26: (0, 137, 80, 18, 48, 24, 98, 83, 97, 19, 82, 0)
s = 27: (0, 116, 54, 23, 29, 18, 88, 57, 64, 28, 117, 0)
s = 28: (0, 99, 44, 44, 62, 22, 123, 34, 73, 38, 143, 0)
s = 29: (0, 174, 56, 46, 37, 12, 87, 45, 78, 33, 62, 0)
s = 30: (0, 127, 60, 24, 40, 20, 97, 36, 107, 44, 80, 0)
s = 31: (0, 130, 64, 16, 42, 22, 105, 62, 116, 40, 56, 0)
