************************************************************************
file with basedata            : mm37_.bas
initial value random generator: 1458586117
************************************************************************
projects                      :  1
jobs (incl. supersource/sink ):  12
horizon                       :  78
RESOURCES
  - renewable                 :  2   R
  - nonrenewable              :  2   N
  - doubly constrained        :  0   D
************************************************************************
PROJECT INFORMATION:
pronr.  #jobs rel.date duedate tardcost  MPM-Time
    1     10      0       10        8       10
************************************************************************
PRECEDENCE RELATIONS:
jobnr.    #modes  #successors   successors
   0        1          3           1   2   3
   1        3          2           7  10
   2        3          1           4
   3        3          1           5
   4        3          3           5   6   7
   5        3          1          10
   6        3          2           8   9
   7        3          2           8   9
   8        3          1          11
   9        3          1          11
  10        3          1          11
  11        1          0        
************************************************************************
REQUESTS/DURATIONS:
jobnr. mode duration  R 1  R 2  R 3  R 4  E(W 1)  E(W 2)
------------------------------------------------------------------------
  0      1     0       0    0    0    0     0       0
  1      1     4       3    7   10    8    40      72
  2      1     3       7    8    4    9    45      39
  3      1     1       3    6    4    6     9      10
  4      1     4       1    5    2   10    28      48
  5      1     2       7    9    5   10    32      30
  6      1     1       9    6    5    7    15      12
  7      1     1       2    8   10    4    10      14
  8      1     2       5    8    8    8    26      32
  9      1     2       5    5    6    9    20      30
 10      1     1       7   10    9    9    17      18
 11      1     0       0    0    0    0     0       0
************************************************************************
RESOURCEAVAILABILITIES:
  R 1  R 2
   20   104
************************************************************************
RESOURCE LIMITS:
jobnr.  l(R 1)  u(R 1)  l(R 2)  u(R 2)
------------------------------------------------------------------------
  0        0       0       0       0
  1        6      10       9      18
  2        8      15       7      13
  3        5       9       5      10
  4        4       7       6      12
  5        9      16       8      15
  6        8      15       7      12
  7        5      10       7      14
  8        7      13       8      16
  9        6      10       8      15
 10        9      17      10      18
 11        0       0       0       0
************************************************************************
SCENARIOS:
------------------------------------------------------------------------
RESOURCE k = 1
s = 1: (0, 22, 54, 6, 30, 29, 15, 10, 20, 20, 15, 0)
s = 2: (0, 50, 49, 14, 34, 40, 20, 10, 20, 21, 19, 0)
s = 3: (0, 43, 43, 9, 34, 29, 14, 9, 25, 33, 20, 0)
s = 4: (0, 23, 57, 8, 40, 32, 19, 9, 18, 19, 15, 0)
s = 5: (0, 54, 37, 10, 41, 42, 18, 12, 20, 26, 11, 0)
s = 6: (0, 39, 58, 10, 36, 32, 14, 8, 28, 16, 19, 0)
s = 7: (0, 34, 47, 5, 26, 26, 20, 8, 25, 24, 10, 0)
s = 8: (0, 44, 59, 10, 29, 39, 11, 15, 19, 25, 33, 0)
s = 9: (0, 31, 32, 8, 23, 21, 14, 9, 18, 21, 11, 0)
s = 10: (0, 27, 52, 11, 30, 30, 12, 8, 16, 22, 15, 0)
s = 11: (0, 40, 43, 8, 18, 56, 17, 12, 36, 25, 19, 0)
s = 12: (0, 39, 35, 9, 17, 30, 17, 13, 22, 13, 23, 0)
s = 13: (0, 29, 30, 13, 19, 34, 10, 13, 27, 19, 13, 0)
s = 14: (0, 23, 51, 6, 22, 39, 11, 8, 26, 25, 15, 0)
s = 15: (0, 27, 52, 10, 29, 23, 14, 11, 20, 17, 16, 0)
s = 16: (0, 52, 43, 9, 41, 29, 14, 11, 31, 14, 12, 0)
s = 17: (0, 38, 58, 12, 30, 38, 16, 9, 35, 26, 11, 0)
s = 18: (0, 65, 47, 6, 33, 31, 14, 17, 21, 15, 17, 0)
s = 19: (0, 35, 34, 8, 38, 18, 17, 10, 25, 18, 16, 0)
s = 20: (0, 45, 37, 9, 39, 35, 14, 10, 20, 16, 24, 0)
s = 21: (0, 37, 46, 18, 47, 29, 10, 10, 21, 24, 13, 0)
s = 22: (0, 33, 38, 7, 37, 53, 17, 11, 28, 24, 19, 0)
s = 23: (0, 31, 39, 15, 31, 30, 10, 11, 30, 23, 16, 0)
s = 24: (0, 37, 50, 8, 31, 43, 12, 7, 31, 27, 20, 0)
s = 25: (0, 24, 34, 10, 32, 41, 10, 19, 23, 31, 17, 0)
s = 26: (0, 37, 74, 7, 22, 35, 16, 11, 26, 15, 24, 0)
s = 27: (0, 28, 38, 9, 28, 24, 12, 9, 25, 15, 22, 0)
s = 28: (0, 40, 35, 10, 28, 31, 24, 10, 21, 26, 17, 0)
s = 29: (0, 36, 51, 8, 19, 19, 19, 17, 32, 21, 18, 0)
s = 30: (0, 28, 30, 6, 29, 29, 15, 12, 27, 23, 14, 0)
s = 31: (0, 30, 44, 10, 30, 33, 11, 16, 26, 22, 13, 0)
s = 32: (0, 35, 35, 8, 26, 25, 22, 9, 32, 15, 30, 0)
s = 33: (0, 36, 38, 10, 20, 34, 15, 10, 17, 15, 21, 0)
s = 34: (0, 39, 59, 8, 33, 30, 30, 15, 21, 32, 21, 0)
s = 35: (0, 28, 46, 10, 25, 23, 8, 6, 40, 24, 18, 0)
s = 36: (0, 26, 54, 9, 35, 32, 21, 12, 19, 30, 24, 0)
s = 37: (0, 54, 49, 9, 19, 56, 16, 7, 31, 18, 14, 0)
s = 38: (0, 28, 51, 12, 43, 30, 10, 8, 20, 23, 11, 0)
s = 39: (0, 40, 41, 6, 38, 49, 16, 9, 33, 22, 14, 0)
s = 40: (0, 35, 26, 11, 45, 26, 14, 14, 17, 33, 11, 0)
s = 41: (0, 30, 29, 6, 31, 22, 11, 10, 23, 21, 21, 0)
s = 42: (0, 55, 50, 12, 39, 18, 14, 18, 24, 15, 16, 0)
s = 43: (0, 47, 39, 13, 25, 34, 15, 10, 21, 25, 28, 0)
s = 44: (0, 37, 60, 7, 36, 32, 24, 7, 20, 26, 13, 0)
s = 45: (0, 51, 31, 9, 23, 27, 17, 8, 18, 16, 22, 0)
s = 46: (0, 38, 56, 6, 23, 23, 11, 8, 26, 24, 30, 0)
s = 47: (0, 54, 45, 8, 28, 41, 12, 10, 31, 23, 17, 0)
s = 48: (0, 39, 42, 10, 26, 29, 15, 9, 22, 30, 16, 0)
s = 49: (0, 37, 28, 9, 19, 29, 20, 9, 39, 19, 19, 0)
s = 50: (0, 47, 44, 11, 39, 35, 20, 13, 39, 23, 14, 0)
s = 51: (0, 41, 56, 10, 19, 38, 9, 11, 18, 20, 20, 0)
s = 52: (0, 52, 28, 8, 20, 36, 19, 14, 28, 19, 11, 0)
s = 53: (0, 27, 71, 10, 32, 25, 13, 10, 17, 21, 20, 0)
s = 54: (0, 34, 41, 11, 30, 20, 20, 15, 18, 27, 18, 0)
s = 55: (0, 25, 25, 14, 31, 30, 18, 13, 20, 23, 16, 0)
s = 56: (0, 46, 37, 16, 27, 49, 10, 18, 18, 15, 12, 0)
s = 57: (0, 54, 66, 7, 29, 30, 10, 11, 23, 16, 15, 0)
s = 58: (0, 25, 28, 7, 22, 20, 27, 7, 28, 24, 22, 0)
s = 59: (0, 43, 36, 8, 26, 30, 11, 16, 19, 13, 16, 0)
s = 60: (0, 41, 49, 10, 32, 28, 18, 8, 20, 14, 21, 0)
s = 61: (0, 44, 47, 9, 20, 45, 19, 9, 17, 19, 12, 0)
s = 62: (0, 41, 38, 14, 33, 39, 21, 11, 20, 18, 16, 0)
