************************************************************************
file with basedata            : mm13_.bas
initial value random generator: 1257126291
************************************************************************
projects                      :  1
jobs (incl. supersource/sink ):  12
horizon                       :  76
RESOURCES
  - renewable                 :  2   R
  - nonrenewable              :  2   N
  - doubly constrained        :  0   D
************************************************************************
PROJECT INFORMATION:
pronr.  #jobs rel.date duedate tardcost  MPM-Time
    1     10      0       15        1       15
************************************************************************
PRECEDENCE RELATIONS:
jobnr.    #modes  #successors   successors
   0        1          3           1   2   3
   1        3          3           4   5   6
   2        3          1           5
   3        3          2           4   5
   4        3          2           8   9
   5        3          1           7
   6        3          1           7
   7        3          2           8  10
   8        3          1          11
   9        3          1          11
  10        3          1          11
  11        1          0        
************************************************************************
REQUESTS/DURATIONS:
jobnr. mode duration  R 1  R 2  R 3  R 4  E(W 1)  E(W 2)
------------------------------------------------------------------------
  0      1     0       0    0    0    0     0       0
  1      1     2       0    6    2    8    12      20
  2      1     1       4    0    6    6     4      12
  3      1     3       0    3    5    7     9      36
  4      1     2       8    0    4    5    16      18
  5      1     7       0    9    7    3    63      70
  6      1     3       5    0    8    6    15      42
  7      1     1       7    0    6    5     7      11
  8      1     3       6    0    7    5    18      36
  9      1     1       8    0    4    8     8      12
 10      1     4       0    5   10    8    20      72
 11      1     0       0    0    0    0     0       0
************************************************************************
RESOURCEAVAILABILITIES:
  R 1  R 2
   24   91
************************************************************************
RESOURCE LIMITS:
jobnr.  l(R 1)  u(R 1)  l(R 2)  u(R 2)
------------------------------------------------------------------------
  0        0       0       0       0
  1        3       6       5      10
  2        2       4       6      12
  3        2       3       7      12
  4        4       8       5       9
  5        5       9       6      10
  6        3       5       7      14
  7        4       7       6      11
  8        3       6       7      12
  9        4       8       6      12
 10        3       5       9      18
 11        0       0       0       0
************************************************************************
SCENARIOS:
------------------------------------------------------------------------
RESOURCE k = 1
s = 1: (0, 13, 3, 17, 12, 69, 19, 6, 22, 8, 27, 0)
s = 2: (0, 10, 4, 6, 13, 65, 15, 10, 14, 13, 16, 0)
s = 3: (0, 9, 6, 9, 14, 42, 18, 8, 13, 5, 15, 0)
s = 4: (0, 14, 6, 7, 15, 68, 19, 10, 27, 8, 17, 0)
s = 5: (0, 18, 4, 9, 24, 36, 17, 13, 15, 6, 14, 0)
s = 6: (0, 16, 4, 8, 12, 66, 10, 7, 16, 12, 14, 0)
s = 7: (0, 13, 5, 8, 12, 71, 12, 9, 24, 7, 24, 0)
s = 8: (0, 15, 4, 11, 14, 55, 20, 6, 27, 6, 17, 0)
s = 9: (0, 8, 3, 8, 15, 63, 12, 7, 10, 6, 21, 0)
s = 10: (0, 14, 4, 8, 10, 78, 15, 12, 19, 10, 26, 0)
s = 11: (0, 15, 5, 9, 10, 81, 12, 8, 11, 7, 17, 0)
s = 12: (0, 11, 3, 11, 21, 67, 15, 10, 15, 11, 28, 0)
s = 13: (0, 14, 3, 7, 19, 40, 19, 5, 14, 6, 15, 0)
s = 14: (0, 16, 5, 9, 15, 61, 18, 10, 15, 11, 15, 0)
s = 15: (0, 12, 6, 6, 16, 58, 20, 7, 19, 9, 30, 0)
s = 16: (0, 12, 4, 8, 15, 80, 25, 6, 23, 9, 21, 0)
s = 17: (0, 13, 6, 13, 10, 88, 18, 7, 19, 7, 16, 0)
s = 18: (0, 15, 5, 10, 21, 86, 15, 5, 18, 10, 15, 0)
s = 19: (0, 8, 5, 9, 13, 40, 13, 6, 23, 10, 22, 0)
s = 20: (0, 15, 7, 9, 25, 64, 22, 5, 17, 9, 18, 0)
s = 21: (0, 9, 7, 9, 19, 35, 15, 7, 19, 11, 16, 0)
s = 22: (0, 14, 4, 7, 13, 40, 17, 7, 13, 11, 20, 0)
