************************************************************************
file with basedata            : ma14_.bas
initial value random generator: 1133123603
************************************************************************
projects                      :  1
jobs (incl. supersource/sink ):  12
horizon                       :  88
RESOURCES
  - renewable                 :  2   R
  - nonrenewable              :  2   N
  - doubly constrained        :  0   D
************************************************************************
PROJECT INFORMATION:
pronr.  #jobs rel.date duedate tardcost  MPM-Time
    1     10      0       22        1       22
************************************************************************
PRECEDENCE RELATIONS:
jobnr.    #modes  #successors   successors
   0        1          3           1   2   3
   1        3          3           4   5   9
   2        3          2           5   6
   3        3          1           9
   4        3          2           8  10
   5        3          1           7
   6        3          1          10
   7        3          2           8  10
   8        3          1          11
   9        3          1          11
  10        3          1          11
  11        1          0        
************************************************************************
REQUESTS/DURATIONS:
jobnr. mode duration  R 1  R 2  R 3  R 4  E(W 1)  E(W 2)
------------------------------------------------------------------------
  0      1     0       0    0    0    0     0       0
  1      1     9       7    6    8    7    117      135
  2      1     5       3    8    8    7    55      75
  3      1     3       4    7    5    9    33      42
  4      1     1       7    7    6    8    14      14
  5      1     3       6    7    8    9    39      51
  6      1     1       5    4    8    3     9      11
  7      1     8       4    2    8    4    48      96
  8      1     2       5    8    8    9    26      34
  9      1     2       5    8    8    9    26      34
 10      1     1       8    8    9    4    16      13
 11      1     0       0    0    0    0     0       0
************************************************************************
RESOURCEAVAILABILITIES:
  R 1  R 2
   40   111
************************************************************************
RESOURCE LIMITS:
jobnr.  l(R 1)  u(R 1)  l(R 2)  u(R 2)
------------------------------------------------------------------------
  0        0       0       0       0
  1        7      13       8      15
  2        6      11       8      15
  3        6      11       8      14
  4        8      14       7      14
  5        7      13       9      17
  6        5       9       6      11
  7        3       6       6      12
  8        7      13       9      17
  9        7      13       9      17
 10        8      16       7      13
 11        0       0       0       0
************************************************************************
SCENARIOS:
------------------------------------------------------------------------
RESOURCE k = 1
s = 1: (0, 79, 54, 38, 16, 32, 8, 56, 33, 19, 19, 0)
s = 2: (0, 164, 81, 23, 9, 35, 12, 57, 18, 31, 21, 0)
s = 3: (0, 136, 57, 61, 14, 32, 7, 57, 30, 17, 21, 0)
s = 4: (0, 96, 52, 37, 14, 25, 14, 39, 26, 28, 18, 0)
s = 5: (0, 124, 37, 31, 9, 39, 9, 30, 27, 23, 27, 0)
s = 6: (0, 151, 67, 29, 15, 25, 14, 75, 25, 29, 30, 0)
s = 7: (0, 158, 52, 26, 13, 48, 9, 93, 31, 34, 12, 0)
s = 8: (0, 94, 64, 46, 18, 33, 6, 35, 33, 29, 15, 0)
s = 9: (0, 139, 64, 19, 19, 56, 7, 37, 28, 28, 18, 0)
s = 10: (0, 78, 55, 24, 16, 43, 9, 46, 40, 29, 19, 0)
s = 11: (0, 111, 58, 31, 18, 43, 12, 58, 22, 26, 12, 0)
s = 12: (0, 138, 52, 19, 16, 43, 11, 54, 16, 25, 11, 0)
s = 13: (0, 119, 39, 50, 19, 41, 8, 46, 33, 16, 16, 0)
s = 14: (0, 114, 99, 38, 18, 32, 11, 65, 22, 22, 20, 0)
s = 15: (0, 109, 40, 50, 17, 31, 14, 35, 22, 18, 13, 0)
s = 16: (0, 132, 73, 48, 11, 24, 12, 38, 26, 15, 17, 0)
s = 17: (0, 142, 46, 35, 24, 40, 9, 46, 26, 23, 18, 0)
s = 18: (0, 163, 57, 51, 17, 34, 9, 46, 33, 28, 20, 0)
s = 19: (0, 95, 41, 49, 8, 31, 7, 31, 17, 15, 15, 0)
s = 20: (0, 142, 78, 25, 13, 43, 12, 50, 29, 15, 23, 0)
s = 21: (0, 148, 58, 33, 10, 40, 10, 46, 14, 17, 21, 0)
s = 22: (0, 126, 31, 24, 12, 30, 6, 37, 25, 20, 22, 0)
s = 23: (0, 116, 53, 39, 21, 55, 5, 29, 19, 21, 10, 0)
s = 24: (0, 104, 83, 23, 18, 70, 6, 61, 32, 22, 14, 0)
s = 25: (0, 106, 63, 56, 12, 58, 9, 43, 31, 21, 19, 0)
s = 26: (0, 90, 62, 43, 14, 63, 8, 46, 48, 17, 11, 0)
s = 27: (0, 67, 38, 35, 10, 32, 12, 42, 22, 19, 18, 0)
s = 28: (0, 155, 38, 29, 20, 36, 9, 44, 14, 42, 16, 0)
s = 29: (0, 182, 59, 19, 13, 37, 6, 65, 20, 25, 13, 0)
s = 30: (0, 219, 32, 37, 11, 69, 12, 32, 38, 24, 18, 0)
s = 31: (0, 144, 74, 30, 10, 41, 13, 64, 31, 29, 20, 0)
s = 32: (0, 157, 49, 43, 14, 41, 12, 31, 29, 18, 9, 0)
s = 33: (0, 134, 92, 29, 15, 37, 7, 40, 35, 17, 18, 0)
