************************************************************************
file with basedata            : mm10_.bas
initial value random generator: 1185041993
************************************************************************
projects                      :  1
jobs (incl. supersource/sink ):  12
horizon                       :  81
RESOURCES
  - renewable                 :  2   R
  - nonrenewable              :  2   N
  - doubly constrained        :  0   D
************************************************************************
PROJECT INFORMATION:
pronr.  #jobs rel.date duedate tardcost  MPM-Time
    1     10      0       21        9       21
************************************************************************
PRECEDENCE RELATIONS:
jobnr.    #modes  #successors   successors
   0        1          3           1   2   3
   1        3          2           6  10
   2        3          1           4
   3        3          3           8   9  10
   4        3          1           5
   5        3          2           6  10
   6        3          2           7   8
   7        3          1           9
   8        3          1          11
   9        3          1          11
  10        3          1          11
  11        1          0        
************************************************************************
REQUESTS/DURATIONS:
jobnr. mode duration  R 1  R 2  R 3  R 4  E(W 1)  E(W 2)
------------------------------------------------------------------------
  0      1     0       0    0    0    0     0       0
  1      1     1       0    6    8    0     6       8
  2      1     8       0    7    0    6    56      48
  3      1     8       0    4    0    6    32      48
  4      1     3       0    9    0    2    27       6
  5      1     1       6    0    2    0     6       2
  6      1     4       6    0    0    6    24      24
  7      1     1       0    5    2    0     5       2
  8      1     4       0    4    8    0    16      32
  9      1     4       8    0    7    0    32      28
 10      1     2       0    7    7    0    14      14
 11      1     0       0    0    0    0     0       0
************************************************************************
RESOURCEAVAILABILITIES:
  R 1  R 2
   24   57
************************************************************************
RESOURCE LIMITS:
jobnr.  l(R 1)  u(R 1)  l(R 2)  u(R 2)
------------------------------------------------------------------------
  0        0       0       0       0
  1        3       6       4       8
  2        4       7       3       6
  3        2       4       3       6
  4        5       9       1       2
  5        3       6       1       2
  6        3       6       3       6
  7        3       5       1       2
  8        2       4       4       8
  9        4       8       4       7
 10        4       7       4       7
 11        0       0       0       0
************************************************************************
SCENARIOS:
------------------------------------------------------------------------
RESOURCE k = 1
s = 1: (0, 7, 72, 23, 21, 9, 29, 5, 13, 35, 17, 0)
s = 2: (0, 6, 66, 37, 19, 9, 21, 6, 15, 33, 11, 0)
s = 3: (0, 5, 81, 23, 22, 5, 19, 6, 16, 37, 13, 0)
s = 4: (0, 10, 37, 49, 28, 5, 23, 4, 10, 41, 14, 0)
s = 5: (0, 5, 63, 34, 24, 5, 17, 7, 17, 26, 11, 0)
s = 6: (0, 10, 62, 26, 41, 8, 22, 3, 27, 28, 17, 0)
s = 7: (0, 8, 40, 22, 25, 9, 34, 5, 10, 26, 15, 0)
s = 8: (0, 6, 72, 30, 22, 6, 18, 6, 12, 27, 22, 0)
s = 9: (0, 5, 41, 26, 41, 5, 21, 8, 10, 26, 12, 0)
s = 10: (0, 7, 46, 18, 24, 9, 33, 5, 17, 42, 9, 0)
s = 11: (0, 5, 81, 37, 23, 6, 31, 5, 15, 36, 13, 0)
s = 12: (0, 7, 52, 40, 24, 5, 37, 7, 19, 45, 17, 0)
s = 13: (0, 6, 81, 30, 31, 5, 20, 4, 13, 23, 14, 0)
s = 14: (0, 5, 36, 33, 24, 9, 22, 6, 29, 55, 15, 0)
s = 15: (0, 7, 52, 24, 42, 8, 29, 3, 11, 34, 10, 0)
s = 16: (0, 5, 37, 25, 18, 9, 35, 5, 18, 49, 14, 0)
s = 17: (0, 6, 41, 24, 21, 5, 29, 7, 12, 25, 10, 0)
s = 18: (0, 6, 41, 26, 46, 7, 24, 5, 16, 26, 12, 0)
s = 19: (0, 5, 67, 25, 23, 5, 23, 4, 22, 37, 19, 0)
s = 20: (0, 10, 30, 27, 22, 5, 19, 5, 28, 38, 12, 0)
s = 21: (0, 8, 43, 37, 33, 6, 18, 4, 18, 34, 16, 0)
s = 22: (0, 8, 53, 18, 46, 6, 24, 5, 12, 31, 24, 0)
s = 23: (0, 4, 41, 44, 18, 6, 25, 6, 16, 35, 10, 0)
s = 24: (0, 7, 71, 30, 22, 8, 30, 5, 11, 53, 12, 0)
s = 25: (0, 5, 78, 37, 18, 7, 34, 4, 10, 29, 16, 0)
