************************************************************************
file with basedata            : mm45_.bas
initial value random generator: 271910499
************************************************************************
projects                      :  1
jobs (incl. supersource/sink ):  12
horizon                       :  86
RESOURCES
  - renewable                 :  2   R
  - nonrenewable              :  2   N
  - doubly constrained        :  0   D
************************************************************************
PROJECT INFORMATION:
pronr.  #jobs rel.date duedate tardcost  MPM-Time
    1     10      0       21        2       21
************************************************************************
PRECEDENCE RELATIONS:
jobnr.    #modes  #successors   successors
   0        1          3           1   2   3
   1        3          3           4   5   9
   2        3          2           5  10
   3        3          1           6
   4        3          2           7  10
   5        3          1           7
   6        3          2           8  10
   7        3          1           8
   8        3          1          11
   9        3          1          11
  10        3          1          11
  11        1          0        
************************************************************************
REQUESTS/DURATIONS:
jobnr. mode duration  R 1  R 2  R 3  R 4  E(W 1)  E(W 2)
------------------------------------------------------------------------
  0      1     0       0    0    0    0     0       0
  1      1     7       9    9    5    2    126      49
  2      1     9       6    1    5    8    72      117
  3      1     7       2    7    7    6    63      91
  4      1     2       7    9    7    3    32      20
  5      1     5       6    7    3    6    65      45
  6      1     4      10    3    9    7    52      64
  7      1     4       4    8    7    6    48      52
  8      1     3       4    7    7    5    33      36
  9      1     3       9   10    5   10    57      45
 10      1     1       7    8    6   10    15      16
 11      1     0       0    0    0    0     0       0
************************************************************************
RESOURCEAVAILABILITIES:
  R 1  R 2
   36   94
************************************************************************
RESOURCE LIMITS:
jobnr.  l(R 1)  u(R 1)  l(R 2)  u(R 2)
------------------------------------------------------------------------
  0        0       0       0       0
  1       10      18       4       7
  2        4       8       7      13
  3        5       9       7      13
  4        9      16       6      10
  5        7      13       5       9
  6        7      13       9      16
  7        6      12       7      13
  8        6      11       7      12
  9       10      19       8      15
 10        8      15       8      16
 11        0       0       0       0
************************************************************************
SCENARIOS:
------------------------------------------------------------------------
RESOURCE k = 1
s = 1: (0, 85, 68, 75, 61, 45, 32, 35, 19, 35, 13, 0)
s = 2: (0, 151, 76, 94, 37, 40, 38, 53, 19, 46, 11, 0)
s = 3: (0, 124, 45, 69, 36, 54, 35, 72, 35, 56, 15, 0)
s = 4: (0, 148, 52, 82, 26, 59, 72, 45, 34, 37, 9, 0)
s = 5: (0, 109, 55, 75, 32, 50, 47, 53, 28, 74, 12, 0)
s = 6: (0, 102, 100, 37, 32, 49, 36, 29, 33, 53, 12, 0)
s = 7: (0, 141, 68, 64, 24, 69, 50, 38, 38, 49, 15, 0)
s = 8: (0, 114, 81, 61, 39, 54, 40, 56, 32, 83, 13, 0)
s = 9: (0, 170, 80, 39, 34, 70, 70, 50, 40, 33, 17, 0)
s = 10: (0, 111, 46, 42, 24, 53, 49, 50, 21, 57, 18, 0)
s = 11: (0, 90, 53, 41, 39, 54, 35, 58, 47, 67, 15, 0)
s = 12: (0, 78, 81, 46, 24, 54, 41, 56, 57, 48, 17, 0)
s = 13: (0, 185, 58, 63, 42, 54, 35, 44, 24, 39, 17, 0)
s = 14: (0, 80, 113, 44, 46, 96, 50, 44, 43, 49, 14, 0)
s = 15: (0, 110, 44, 83, 25, 47, 73, 83, 62, 47, 21, 0)
s = 16: (0, 83, 114, 88, 25, 57, 74, 46, 21, 53, 19, 0)
s = 17: (0, 137, 82, 49, 38, 56, 41, 48, 24, 40, 17, 0)
s = 18: (0, 66, 78, 40, 23, 54, 40, 70, 20, 45, 14, 0)
s = 19: (0, 87, 62, 39, 37, 77, 44, 85, 45, 38, 14, 0)
s = 20: (0, 123, 86, 54, 23, 78, 65, 31, 33, 77, 23, 0)
s = 21: (0, 113, 95, 67, 28, 58, 55, 66, 31, 104, 12, 0)
s = 22: (0, 91, 61, 56, 31, 69, 42, 42, 26, 60, 15, 0)
s = 23: (0, 132, 62, 58, 18, 113, 63, 32, 40, 84, 17, 0)
s = 24: (0, 131, 85, 68, 29, 49, 84, 36, 43, 86, 9, 0)
s = 25: (0, 104, 67, 65, 42, 58, 50, 49, 57, 53, 15, 0)
s = 26: (0, 87, 87, 80, 39, 64, 45, 53, 31, 65, 13, 0)
s = 27: (0, 86, 57, 52, 33, 62, 64, 36, 38, 106, 12, 0)
s = 28: (0, 144, 72, 64, 34, 56, 56, 40, 29, 80, 18, 0)
s = 29: (0, 154, 89, 38, 32, 58, 82, 66, 32, 55, 19, 0)
s = 30: (0, 142, 50, 56, 26, 54, 34, 35, 39, 69, 13, 0)
s = 31: (0, 82, 72, 71, 33, 113, 43, 44, 22, 57, 12, 0)
s = 32: (0, 185, 48, 77, 31, 62, 30, 56, 43, 43, 13, 0)
s = 33: (0, 147, 53, 79, 27, 46, 60, 61, 28, 38, 24, 0)
s = 34: (0, 118, 70, 97, 28, 77, 34, 60, 33, 44, 12, 0)
s = 35: (0, 113, 124, 85, 46, 58, 47, 40, 34, 42, 18, 0)
s = 36: (0, 112, 92, 69, 28, 57, 70, 68, 34, 53, 21, 0)
s = 37: (0, 99, 65, 50, 28, 53, 36, 31, 27, 43, 13, 0)
s = 38: (0, 172, 84, 53, 34, 64, 46, 64, 23, 62, 12, 0)
s = 39: (0, 123, 53, 58, 34, 52, 67, 48, 36, 62, 13, 0)
s = 40: (0, 97, 74, 55, 46, 79, 73, 53, 39, 52, 14, 0)
