************************************************************************
file with basedata            : mm18_.bas
initial value random generator: 776135160
************************************************************************
projects                      :  1
jobs (incl. supersource/sink ):  12
horizon                       :  81
RESOURCES
  - renewable                 :  2   R
  - nonrenewable              :  2   N
  - doubly constrained        :  0   D
************************************************************************
PROJECT INFORMATION:
pronr.  #jobs rel.date duedate tardcost  MPM-Time
    1     10      0       13        6       13
************************************************************************
PRECEDENCE RELATIONS:
jobnr.    #modes  #successors   successors
   0        1          3           1   2   3
   1        3          3           5   6   8
   2        3          1           8
   3        3          2           4  10
   4        3          2           8   9
   5        3          2           9  10
   6        3          1           7
   7        3          1          10
   8        3          1          11
   9        3          1          11
  10        3          1          11
  11        1          0        
************************************************************************
REQUESTS/DURATIONS:
jobnr. mode duration  R 1  R 2  R 3  R 4  E(W 1)  E(W 2)
------------------------------------------------------------------------
  0      1     0       0    0    0    0     0       0
  1      1     4       8    0    5    0    32      20
  2      1     1       0   10    0    2    10       2
  3      1     4       0    8    6    0    32      24
  4      1     6       4    0   10    0    24      60
  5      1     2       0    8    0    6    16      12
  6      1     3       0    7    7    0    21      21
  7      1     3       8    0    5    0    24      15
  8      1     2       6    0    0    7    12      14
  9      1     1       9    0    8    0     9       8
 10      1     3       0    6    0    8    18      24
 11      1     0       0    0    0    0     0       0
************************************************************************
RESOURCEAVAILABILITIES:
  R 1  R 2
   33   62
************************************************************************
RESOURCE LIMITS:
jobnr.  l(R 1)  u(R 1)  l(R 2)  u(R 2)
------------------------------------------------------------------------
  0        0       0       0       0
  1        4       8       3       5
  2        5      10       1       2
  3        4       8       3       6
  4        2       4       5      10
  5        4       8       3       6
  6        4       7       4       7
  7        4       8       3       5
  8        3       6       4       7
  9        5       9       4       8
 10        3       6       4       8
 11        0       0       0       0
************************************************************************
SCENARIOS:
------------------------------------------------------------------------
RESOURCE k = 1
s = 1: (0, 28, 10, 40, 23, 20, 17, 16, 12, 9, 18, 0)
s = 2: (0, 25, 13, 40, 41, 10, 14, 22, 11, 11, 24, 0)
s = 3: (0, 24, 9, 31, 16, 17, 16, 26, 19, 10, 23, 0)
s = 4: (0, 31, 9, 37, 16, 15, 25, 18, 8, 8, 20, 0)
s = 5: (0, 62, 6, 34, 24, 23, 29, 18, 9, 11, 18, 0)
s = 6: (0, 22, 10, 26, 35, 13, 17, 19, 12, 9, 12, 0)
s = 7: (0, 53, 10, 36, 35, 33, 16, 23, 10, 10, 19, 0)
s = 8: (0, 42, 7, 29, 19, 11, 19, 15, 8, 6, 11, 0)
s = 9: (0, 49, 9, 43, 22, 13, 12, 25, 12, 6, 28, 0)
s = 10: (0, 36, 9, 28, 23, 20, 20, 42, 12, 13, 16, 0)
s = 11: (0, 42, 10, 32, 39, 15, 14, 29, 21, 10, 21, 0)
s = 12: (0, 36, 15, 39, 18, 25, 28, 28, 17, 6, 17, 0)
s = 13: (0, 24, 9, 34, 21, 13, 18, 18, 16, 9, 22, 0)
s = 14: (0, 28, 8, 27, 28, 19, 11, 34, 18, 12, 32, 0)
s = 15: (0, 35, 8, 21, 27, 14, 15, 15, 11, 6, 23, 0)
s = 16: (0, 45, 12, 27, 22, 16, 34, 23, 10, 10, 17, 0)
s = 17: (0, 32, 7, 33, 33, 18, 15, 23, 12, 11, 28, 0)
s = 18: (0, 24, 13, 35, 16, 10, 30, 19, 13, 5, 10, 0)
s = 19: (0, 41, 16, 28, 19, 23, 29, 22, 14, 15, 12, 0)
s = 20: (0, 21, 7, 19, 21, 18, 17, 18, 15, 8, 16, 0)
s = 21: (0, 17, 9, 49, 36, 20, 28, 19, 11, 7, 15, 0)
s = 22: (0, 25, 8, 46, 32, 26, 19, 15, 15, 7, 17, 0)
s = 23: (0, 37, 10, 22, 20, 16, 15, 20, 8, 10, 16, 0)
s = 24: (0, 33, 14, 21, 25, 23, 26, 17, 10, 10, 22, 0)
s = 25: (0, 43, 12, 29, 20, 16, 18, 18, 13, 6, 17, 0)
s = 26: (0, 20, 12, 35, 26, 22, 22, 30, 12, 9, 16, 0)
s = 27: (0, 45, 11, 25, 43, 17, 26, 20, 18, 12, 26, 0)
s = 28: (0, 22, 9, 29, 23, 13, 20, 17, 11, 11, 12, 0)
s = 29: (0, 28, 6, 22, 22, 26, 13, 37, 10, 12, 22, 0)
s = 30: (0, 46, 11, 42, 22, 13, 36, 24, 17, 11, 18, 0)
s = 31: (0, 31, 10, 43, 22, 12, 22, 20, 17, 7, 20, 0)
s = 32: (0, 32, 13, 23, 23, 20, 17, 28, 16, 11, 19, 0)
s = 33: (0, 24, 14, 26, 36, 14, 30, 26, 17, 8, 11, 0)
s = 34: (0, 24, 12, 44, 26, 24, 21, 29, 17, 9, 16, 0)
s = 35: (0, 22, 17, 20, 21, 15, 15, 33, 10, 6, 18, 0)
s = 36: (0, 28, 7, 37, 22, 12, 26, 36, 22, 7, 21, 0)
s = 37: (0, 24, 7, 47, 20, 11, 17, 26, 9, 9, 11, 0)
s = 38: (0, 24, 8, 34, 20, 21, 19, 23, 14, 11, 25, 0)
s = 39: (0, 20, 6, 30, 20, 16, 19, 27, 18, 11, 14, 0)
s = 40: (0, 30, 9, 34, 26, 15, 20, 35, 9, 9, 19, 0)
s = 41: (0, 41, 12, 34, 26, 12, 24, 22, 19, 9, 12, 0)
s = 42: (0, 23, 8, 29, 26, 13, 15, 29, 19, 12, 16, 0)
