************************************************************************
file with basedata            : mm31_.bas
initial value random generator: 2054665318
************************************************************************
projects                      :  1
jobs (incl. supersource/sink ):  12
horizon                       :  66
RESOURCES
  - renewable                 :  2   R
  - nonrenewable              :  2   N
  - doubly constrained        :  0   D
************************************************************************
PROJECT INFORMATION:
pronr.  #jobs rel.date duedate tardcost  MPM-Time
    1     10      0       14        6       14
************************************************************************
PRECEDENCE RELATIONS:
jobnr.    #modes  #successors   successors
   0        1          3           1   2   3
   1        3          1          10
   2        3          1           4
   3        3          3           5   6   8
   4        3          3           7   8   9
   5        3          2           9  10
   6        3          1           7
   7        3          1          10
   8        3          1          11
   9        3          1          11
  10        3          1          11
  11        1          0        
************************************************************************
REQUESTS/DURATIONS:
jobnr. mode duration  R 1  R 2  R 3  R 4  E(W 1)  E(W 2)
------------------------------------------------------------------------
  0      1     0       0    0    0    0     0       0
  1      1     3       9    0    6    5    27      33
  2      1     2       7    0    5    8    14      26
  3      1     2       9    0    9    8    18      34
  4      1     3       5    0    5    2    15      21
  5      1     2       7    0    8    7    14      30
  6      1     7       0    9    8    2    63      70
  7      1     2       0    8    7    5    16      24
  8      1     3       0    9    4    4    27      24
  9      1     1       0    8   10    8     8      18
 10      1     3       7    0    7   10    21      51
 11      1     0       0    0    0    0     0       0
************************************************************************
RESOURCEAVAILABILITIES:
  R 1  R 2
   54   116
************************************************************************
RESOURCE LIMITS:
jobnr.  l(R 1)  u(R 1)  l(R 2)  u(R 2)
------------------------------------------------------------------------
  0        0       0       0       0
  1        5       9       6      11
  2        4       7       7      13
  3        5       9       9      17
  4        3       5       4       7
  5        4       7       8      15
  6        5       9       5      10
  7        4       8       7      12
  8        5       9       4       8
  9        4       8       9      18
 10        4       7       9      17
 11        0       0       0       0
************************************************************************
SCENARIOS:
------------------------------------------------------------------------
RESOURCE k = 1
s = 1: (0, 36, 22, 22, 12, 15, 69, 12, 31, 7, 11, 0)
s = 2: (0, 31, 16, 21, 9, 12, 52, 13, 30, 12, 20, 0)
s = 3: (0, 22, 18, 13, 12, 16, 59, 19, 43, 5, 26, 0)
s = 4: (0, 28, 12, 17, 17, 23, 64, 19, 22, 7, 22, 0)
s = 5: (0, 35, 11, 24, 22, 15, 57, 14, 25, 9, 17, 0)
s = 6: (0, 36, 14, 18, 17, 15, 46, 22, 16, 8, 25, 0)
s = 7: (0, 32, 14, 12, 10, 22, 56, 19, 32, 11, 27, 0)
s = 8: (0, 23, 15, 18, 20, 13, 103, 14, 29, 12, 19, 0)
s = 9: (0, 27, 10, 15, 17, 17, 48, 17, 24, 8, 13, 0)
s = 10: (0, 28, 15, 13, 16, 10, 48, 17, 17, 9, 17, 0)
s = 11: (0, 17, 15, 18, 17, 22, 47, 21, 20, 7, 14, 0)
s = 12: (0, 26, 14, 17, 11, 9, 60, 10, 37, 12, 16, 0)
s = 13: (0, 20, 14, 26, 18, 18, 85, 16, 18, 6, 17, 0)
s = 14: (0, 31, 16, 24, 16, 13, 42, 19, 35, 8, 14, 0)
s = 15: (0, 43, 14, 16, 14, 10, 61, 14, 32, 7, 22, 0)
s = 16: (0, 32, 15, 23, 24, 14, 78, 15, 34, 11, 12, 0)
s = 17: (0, 38, 23, 16, 15, 22, 83, 17, 23, 9, 20, 0)
s = 18: (0, 20, 11, 20, 18, 10, 39, 14, 24, 7, 17, 0)
s = 19: (0, 38, 15, 14, 13, 12, 51, 21, 38, 9, 15, 0)
s = 20: (0, 18, 21, 15, 13, 9, 58, 17, 24, 7, 27, 0)
s = 21: (0, 19, 18, 20, 15, 13, 68, 18, 15, 5, 38, 0)
s = 22: (0, 27, 10, 26, 17, 14, 56, 9, 16, 9, 24, 0)
s = 23: (0, 40, 18, 13, 18, 10, 38, 22, 32, 7, 11, 0)
s = 24: (0, 16, 23, 23, 10, 11, 55, 19, 30, 9, 13, 0)
s = 25: (0, 27, 24, 14, 20, 17, 36, 24, 19, 10, 15, 0)
s = 26: (0, 32, 16, 28, 15, 8, 44, 14, 18, 14, 31, 0)
s = 27: (0, 31, 13, 22, 15, 11, 71, 15, 20, 12, 17, 0)
s = 28: (0, 17, 8, 18, 19, 15, 56, 18, 25, 9, 20, 0)
s = 29: (0, 27, 11, 25, 10, 16, 105, 20, 24, 15, 17, 0)
s = 30: (0, 31, 17, 20, 23, 14, 67, 13, 31, 5, 33, 0)
s = 31: (0, 30, 14, 17, 14, 17, 86, 18, 49, 7, 19, 0)
s = 32: (0, 35, 12, 13, 11, 11, 39, 13, 25, 6, 22, 0)
s = 33: (0, 33, 21, 22, 14, 11, 37, 22, 22, 9, 17, 0)
s = 34: (0, 24, 18, 12, 18, 16, 79, 16, 20, 8, 15, 0)
s = 35: (0, 17, 19, 27, 19, 10, 41, 12, 28, 9, 19, 0)
s = 36: (0, 34, 20, 16, 17, 12, 71, 16, 31, 6, 24, 0)
s = 37: (0, 31, 20, 21, 15, 22, 92, 12, 23, 12, 17, 0)
s = 38: (0, 25, 9, 21, 12, 11, 63, 17, 33, 6, 24, 0)
s = 39: (0, 22, 21, 15, 12, 24, 103, 15, 21, 11, 32, 0)
s = 40: (0, 40, 19, 14, 11, 14, 77, 15, 26, 8, 20, 0)
s = 41: (0, 34, 15, 17, 18, 9, 67, 10, 18, 5, 22, 0)
s = 42: (0, 48, 10, 12, 16, 8, 64, 20, 40, 8, 27, 0)
s = 43: (0, 29, 9, 11, 20, 21, 84, 13, 19, 8, 14, 0)
s = 44: (0, 31, 18, 18, 24, 11, 99, 18, 32, 8, 13, 0)
s = 45: (0, 32, 12, 12, 15, 14, 72, 17, 48, 13, 19, 0)
s = 46: (0, 26, 10, 13, 15, 19, 70, 21, 21, 11, 16, 0)
s = 47: (0, 24, 12, 21, 16, 18, 53, 18, 29, 5, 19, 0)
s = 48: (0, 35, 13, 13, 14, 17, 102, 16, 17, 13, 26, 0)
s = 49: (0, 38, 17, 26, 18, 14, 62, 20, 15, 7, 18, 0)
s = 50: (0, 21, 19, 15, 19, 12, 75, 22, 27, 15, 27, 0)
s = 51: (0, 35, 12, 15, 25, 20, 69, 25, 53, 8, 36, 0)
s = 52: (0, 29, 9, 21, 17, 17, 69, 20, 20, 7, 22, 0)
s = 53: (0, 22, 10, 17, 24, 17, 73, 21, 22, 9, 22, 0)
s = 54: (0, 33, 17, 27, 19, 23, 50, 12, 33, 13, 14, 0)
s = 55: (0, 26, 12, 15, 16, 19, 54, 20, 22, 9, 16, 0)
s = 56: (0, 25, 19, 13, 16, 11, 56, 15, 27, 10, 16, 0)
s = 57: (0, 38, 15, 27, 14, 22, 43, 16, 31, 12, 16, 0)
s = 58: (0, 27, 21, 14, 23, 8, 103, 9, 31, 11, 18, 0)
s = 59: (0, 20, 14, 20, 22, 13, 60, 14, 16, 7, 24, 0)
s = 60: (0, 27, 22, 16, 12, 9, 91, 20, 17, 10, 20, 0)
s = 61: (0, 30, 12, 16, 18, 10, 88, 17, 16, 7, 23, 0)
s = 62: (0, 21, 13, 17, 20, 15, 62, 19, 27, 12, 18, 0)
s = 63: (0, 29, 12, 23, 18, 23, 41, 16, 19, 7, 20, 0)
s = 64: (0, 40, 11, 13, 17, 15, 79, 27, 17, 12, 17, 0)
s = 65: (0, 34, 10, 15, 18, 13, 58, 18, 22, 7, 22, 0)
s = 66: (0, 28, 13, 20, 13, 12, 51, 10, 30, 9, 34, 0)
s = 67: (0, 34, 9, 14, 17, 14, 37, 12, 24, 12, 21, 0)
s = 68: (0, 21, 8, 22, 15, 22, 71, 20, 21, 5, 18, 0)
s = 69: (0, 22, 11, 27, 13, 11, 50, 10, 31, 6, 16, 0)
s = 70: (0, 22, 10, 20, 13, 14, 55, 21, 32, 5, 22, 0)
s = 71: (0, 35, 15, 19, 19, 11, 61, 16, 26, 6, 18, 0)
s = 72: (0, 25, 14, 18, 20, 15, 52, 21, 19, 6, 31, 0)
s = 73: (0, 43, 12, 16, 11, 16, 53, 16, 30, 12, 17, 0)
s = 74: (0, 20, 16, 20, 13, 12, 69, 13, 30, 10, 21, 0)
s = 75: (0, 38, 20, 15, 9, 13, 69, 18, 38, 10, 16, 0)
s = 76: (0, 18, 12, 11, 17, 13, 48, 24, 32, 7, 20, 0)
s = 77: (0, 43, 11, 17, 14, 12, 120, 20, 22, 7, 16, 0)
s = 78: (0, 29, 8, 14, 19, 15, 70, 15, 18, 6, 19, 0)
s = 79: (0, 31, 15, 18, 10, 18, 62, 26, 42, 12, 21, 0)
s = 80: (0, 22, 10, 14, 14, 10, 53, 21, 24, 9, 26, 0)
s = 81: (0, 28, 11, 25, 16, 20, 91, 16, 21, 13, 17, 0)
s = 82: (0, 25, 15, 19, 17, 8, 67, 14, 34, 6, 30, 0)
s = 83: (0, 35, 15, 19, 25, 10, 103, 16, 18, 8, 25, 0)
s = 84: (0, 18, 17, 19, 13, 11, 59, 27, 25, 8, 23, 0)
s = 85: (0, 22, 13, 19, 19, 11, 43, 17, 31, 8, 29, 0)
s = 86: (0, 21, 19, 12, 11, 16, 70, 13, 17, 10, 32, 0)
s = 87: (0, 22, 24, 11, 23, 11, 55, 21, 36, 8, 41, 0)
s = 88: (0, 22, 17, 18, 13, 10, 53, 21, 20, 9, 26, 0)
s = 89: (0, 31, 20, 17, 17, 10, 67, 16, 32, 8, 20, 0)
s = 90: (0, 28, 8, 15, 18, 19, 61, 17, 30, 11, 19, 0)
s = 91: (0, 25, 18, 25, 15, 14, 36, 11, 24, 10, 18, 0)
s = 92: (0, 31, 13, 16, 10, 11, 72, 18, 28, 5, 30, 0)
s = 93: (0, 40, 11, 27, 21, 24, 69, 29, 39, 11, 18, 0)
s = 94: (0, 21, 15, 18, 14, 13, 44, 10, 21, 10, 23, 0)
s = 95: (0, 26, 13, 17, 12, 8, 78, 13, 17, 8, 19, 0)
s = 96: (0, 30, 12, 19, 14, 17, 57, 16, 40, 10, 18, 0)
s = 97: (0, 52, 9, 11, 20, 16, 39, 10, 35, 7, 13, 0)
s = 98: (0, 33, 16, 14, 9, 9, 44, 21, 33, 9, 27, 0)
s = 99: (0, 18, 25, 11, 25, 12, 49, 12, 33, 10, 15, 0)
s = 100: (0, 33, 17, 14, 9, 10, 83, 16, 22, 9, 29, 0)
s = 101: (0, 24, 18, 19, 12, 11, 81, 16, 31, 7, 17, 0)
s = 102: (0, 22, 17, 29, 19, 18, 59, 13, 30, 10, 25, 0)
s = 103: (0, 20, 17, 22, 13, 17, 61, 19, 19, 6, 12, 0)
s = 104: (0, 29, 8, 18, 26, 21, 55, 21, 39, 8, 25, 0)
s = 105: (0, 46, 20, 20, 14, 8, 49, 23, 28, 15, 13, 0)
s = 106: (0, 45, 14, 22, 14, 17, 77, 19, 18, 8, 33, 0)
s = 107: (0, 29, 12, 22, 20, 12, 46, 10, 32, 6, 33, 0)
s = 108: (0, 33, 15, 31, 12, 14, 55, 21, 28, 13, 17, 0)
