************************************************************************
file with basedata            : mm42_.bas
initial value random generator: 25844205
************************************************************************
projects                      :  1
jobs (incl. supersource/sink ):  12
horizon                       :  81
RESOURCES
  - renewable                 :  2   R
  - nonrenewable              :  2   N
  - doubly constrained        :  0   D
************************************************************************
PROJECT INFORMATION:
pronr.  #jobs rel.date duedate tardcost  MPM-Time
    1     10      0       23        8       23
************************************************************************
PRECEDENCE RELATIONS:
jobnr.    #modes  #successors   successors
   0        1          3           1   2   3
   1        3          3           4   6   8
   2        3          1           8
   3        3          2           5   8
   4        3          1           5
   5        3          1           7
   6        3          2           9  10
   7        3          2           9  10
   8        3          1          11
   9        3          1          11
  10        3          1          11
  11        1          0        
************************************************************************
REQUESTS/DURATIONS:
jobnr. mode duration  R 1  R 2  R 3  R 4  E(W 1)  E(W 2)
------------------------------------------------------------------------
  0      1     0       0    0    0    0     0       0
  1      1     6       1    3    0    6    30      36
  2      1     3       6    8    6    0    42      18
  3      1     3       4   10   10    0    42      30
  4      1     2       2    3    0    6    10      12
  5      1     4       7    2    3    0    36      12
  6      1     5       4    6    0    7    50      35
  7      1     4       6    8    0    3    56      12
  8      1     7       6   10    7    0    112      49
  9      1     1       9    4    7    0    13       7
 10      1     7       7    8    7    0    105      49
 11      1     0       0    0    0    0     0       0
************************************************************************
RESOURCEAVAILABILITIES:
  R 1  R 2
   28   65
************************************************************************
RESOURCE LIMITS:
jobnr.  l(R 1)  u(R 1)  l(R 2)  u(R 2)
------------------------------------------------------------------------
  0        0       0       0       0
  1        3       5       3       6
  2        7      14       3       6
  3        7      14       5      10
  4        3       5       3       6
  5        5       9       2       3
  6        5      10       4       7
  7        7      14       2       3
  8        8      16       4       7
  9        7      13       4       7
 10        8      15       4       7
 11        0       0       0       0
************************************************************************
SCENARIOS:
------------------------------------------------------------------------
RESOURCE k = 1
s = 1: (0, 26, 46, 49, 8, 20, 33, 56, 111, 11, 127, 0)
s = 2: (0, 37, 35, 35, 13, 24, 47, 45, 74, 16, 145, 0)
s = 3: (0, 19, 45, 34, 17, 28, 50, 46, 100, 16, 118, 0)
s = 4: (0, 26, 38, 41, 9, 33, 36, 52, 107, 10, 136, 0)
s = 5: (0, 37, 45, 25, 9, 34, 70, 41, 93, 14, 101, 0)
s = 6: (0, 26, 39, 26, 7, 35, 35, 41, 114, 21, 161, 0)
s = 7: (0, 38, 31, 37, 12, 21, 62, 41, 67, 10, 128, 0)
s = 8: (0, 31, 37, 47, 10, 60, 31, 56, 62, 17, 100, 0)
s = 9: (0, 39, 32, 62, 10, 42, 41, 35, 163, 14, 94, 0)
s = 10: (0, 32, 40, 41, 6, 49, 67, 62, 116, 18, 95, 0)
s = 11: (0, 42, 61, 32, 10, 46, 51, 86, 92, 13, 109, 0)
s = 12: (0, 37, 51, 33, 9, 32, 52, 48, 78, 13, 112, 0)
s = 13: (0, 26, 27, 40, 15, 29, 93, 66, 113, 8, 80, 0)
s = 14: (0, 25, 63, 66, 14, 53, 38, 71, 71, 9, 162, 0)
s = 15: (0, 23, 50, 41, 14, 24, 34, 53, 123, 23, 141, 0)
s = 16: (0, 19, 37, 36, 7, 39, 70, 32, 133, 20, 115, 0)
s = 17: (0, 22, 40, 37, 10, 31, 70, 60, 128, 8, 115, 0)
s = 18: (0, 32, 41, 60, 7, 34, 57, 55, 168, 11, 121, 0)
s = 19: (0, 20, 33, 45, 12, 35, 60, 42, 84, 19, 158, 0)
s = 20: (0, 29, 50, 53, 6, 46, 50, 51, 140, 14, 117, 0)
s = 21: (0, 27, 71, 44, 10, 20, 55, 78, 152, 8, 127, 0)
s = 22: (0, 22, 36, 58, 10, 37, 34, 74, 110, 16, 83, 0)
s = 23: (0, 26, 43, 39, 15, 45, 43, 49, 207, 17, 103, 0)
s = 24: (0, 41, 49, 47, 10, 21, 55, 50, 117, 13, 138, 0)
s = 25: (0, 26, 26, 35, 11, 31, 67, 43, 84, 22, 75, 0)
s = 26: (0, 33, 32, 28, 9, 21, 44, 97, 139, 16, 82, 0)
s = 27: (0, 30, 43, 67, 15, 20, 44, 41, 167, 17, 111, 0)
s = 28: (0, 27, 62, 27, 7, 30, 43, 62, 145, 10, 113, 0)
s = 29: (0, 28, 45, 31, 7, 29, 33, 49, 99, 11, 73, 0)
s = 30: (0, 40, 43, 37, 9, 24, 67, 32, 83, 11, 87, 0)
s = 31: (0, 36, 28, 32, 15, 30, 29, 47, 81, 14, 82, 0)
s = 32: (0, 27, 43, 35, 9, 57, 43, 74, 94, 13, 79, 0)
s = 33: (0, 24, 68, 36, 19, 37, 45, 59, 88, 13, 88, 0)
s = 34: (0, 23, 34, 39, 11, 47, 65, 81, 134, 9, 133, 0)
s = 35: (0, 24, 25, 33, 11, 38, 42, 53, 154, 16, 90, 0)
s = 36: (0, 43, 36, 53, 13, 43, 58, 91, 119, 13, 98, 0)
