************************************************************************
file with basedata            : mm45_.bas
initial value random generator: 2036950416
************************************************************************
projects                      :  1
jobs (incl. supersource/sink ):  12
horizon                       :  80
RESOURCES
  - renewable                 :  2   R
  - nonrenewable              :  2   N
  - doubly constrained        :  0   D
************************************************************************
PROJECT INFORMATION:
pronr.  #jobs rel.date duedate tardcost  MPM-Time
    1     10      0       10        3       10
************************************************************************
PRECEDENCE RELATIONS:
jobnr.    #modes  #successors   successors
   0        1          3           1   2   3
   1        3          2           4  10
   2        3          3           5   9  10
   3        3          2           5   7
   4        3          1           6
   5        3          1           8
   6        3          2           7   9
   7        3          1           8
   8        3          1          11
   9        3          1          11
  10        3          1          11
  11        1          0        
************************************************************************
REQUESTS/DURATIONS:
jobnr. mode duration  R 1  R 2  R 3  R 4  E(W 1)  E(W 2)
------------------------------------------------------------------------
  0      1     0       0    0    0    0     0       0
  1      1     3       7    4    6    4    33      30
  2      1     2       5    4    6    4    18      20
  3      1     1       7    7    3   10    14      13
  4      1     2       8   10    5    8    36      26
  5      1     7       8   10    7    8    126      105
  6      1     1      10    2    7    9    12      16
  7      1     1      10    6    2    5    16       7
  8      1     1       7    8    5    5    15      10
  9      1     3       6    2    8    8    24      48
 10      1     5       4    6    7   10    50      85
 11      1     0       0    0    0    0     0       0
************************************************************************
RESOURCEAVAILABILITIES:
  R 1  R 2
   37   87
************************************************************************
RESOURCE LIMITS:
jobnr.  l(R 1)  u(R 1)  l(R 2)  u(R 2)
------------------------------------------------------------------------
  0        0       0       0       0
  1        6      11       5      10
  2        5       9       5      10
  3        8      14       7      13
  4        9      18       7      13
  5        9      18       8      15
  6        6      12       9      16
  7        8      16       4       7
  8        8      15       6      10
  9        4       8       8      16
 10        5      10       9      17
 11        0       0       0       0
************************************************************************
SCENARIOS:
------------------------------------------------------------------------
RESOURCE k = 1
s = 1: (0, 35, 22, 16, 33, 110, 9, 18, 11, 20, 42, 0)
s = 2: (0, 30, 25, 14, 58, 96, 15, 23, 16, 23, 64, 0)
s = 3: (0, 35, 15, 22, 59, 88, 15, 11, 9, 15, 58, 0)
s = 4: (0, 28, 20, 14, 53, 90, 18, 18, 13, 17, 62, 0)
s = 5: (0, 47, 18, 10, 34, 88, 13, 18, 11, 24, 67, 0)
s = 6: (0, 29, 20, 11, 40, 64, 12, 16, 18, 26, 58, 0)
s = 7: (0, 34, 19, 16, 53, 163, 11, 10, 18, 16, 39, 0)
s = 8: (0, 23, 16, 18, 38, 120, 9, 10, 16, 24, 77, 0)
s = 9: (0, 26, 16, 15, 21, 128, 15, 10, 13, 16, 53, 0)
s = 10: (0, 22, 28, 19, 43, 136, 8, 11, 13, 19, 37, 0)
s = 11: (0, 35, 13, 20, 50, 168, 12, 20, 17, 22, 66, 0)
s = 12: (0, 22, 12, 22, 42, 94, 18, 18, 13, 23, 65, 0)
s = 13: (0, 33, 24, 10, 51, 183, 13, 15, 11, 15, 42, 0)
s = 14: (0, 49, 19, 20, 48, 137, 8, 17, 12, 31, 50, 0)
s = 15: (0, 28, 13, 13, 31, 114, 12, 23, 18, 25, 60, 0)
s = 16: (0, 32, 14, 11, 48, 169, 10, 9, 16, 27, 57, 0)
s = 17: (0, 32, 18, 13, 27, 78, 12, 14, 11, 15, 66, 0)
s = 18: (0, 25, 13, 10, 36, 87, 12, 12, 15, 25, 51, 0)
s = 19: (0, 31, 16, 12, 41, 102, 12, 21, 11, 17, 53, 0)
s = 20: (0, 31, 14, 17, 46, 106, 14, 12, 10, 14, 27, 0)
s = 21: (0, 52, 17, 14, 49, 134, 19, 15, 21, 17, 40, 0)
s = 22: (0, 31, 25, 13, 29, 85, 10, 22, 11, 23, 67, 0)
