************************************************************************
file with basedata            : ma14_.bas
initial value random generator: 820710445
************************************************************************
projects                      :  1
jobs (incl. supersource/sink ):  12
horizon                       :  78
RESOURCES
  - renewable                 :  2   R
  - nonrenewable              :  2   N
  - doubly constrained        :  0   D
************************************************************************
PROJECT INFORMATION:
pronr.  #jobs rel.date duedate tardcost  MPM-Time
    1     10      0       19        2       19
************************************************************************
PRECEDENCE RELATIONS:
jobnr.    #modes  #successors   successors
   0        1          3           1   2   3
   1        3          2           4  10
   2        3          3           6   8   9
   3        3          2           7   8
   4        3          1           5
   5        3          2           7   8
   6        3          1          10
   7        3          1           9
   8        3          1          11
   9        3          1          11
  10        3          1          11
  11        1          0        
************************************************************************
REQUESTS/DURATIONS:
jobnr. mode duration  R 1  R 2  R 3  R 4  E(W 1)  E(W 2)
------------------------------------------------------------------------
  0      1     0       0    0    0    0     0       0
  1      1     6       5    9    7    5    84      72
  2      1     3      10    6    7    6    48      39
  3      1     4      10    1    3    5    48      32
  4      1     4       7   10   10    7    68      68
  5      1     3       9    8    6    5    51      33
  6      1     3       7    9    8    9    48      51
  7      1     2       5    7    8    4    24      24
  8      1     6       4    9    7    7    78      84
  9      1     1       8    5    8    9    13      17
 10      1     4       5    5    8    4    40      48
 11      1     0       0    0    0    0     0       0
************************************************************************
RESOURCEAVAILABILITIES:
  R 1  R 2
   46   94
************************************************************************
RESOURCE LIMITS:
jobnr.  l(R 1)  u(R 1)  l(R 2)  u(R 2)
------------------------------------------------------------------------
  0        0       0       0       0
  1        8      14       7      12
  2        8      16       7      13
  3        6      12       5       8
  4        9      17       9      17
  5        9      17       6      11
  6        9      16       9      17
  7        7      12       6      12
  8        7      13       8      14
  9        7      13       9      17
 10        6      10       6      12
 11        0       0       0       0
************************************************************************
SCENARIOS:
------------------------------------------------------------------------
RESOURCE k = 1
s = 1: (0, 106, 52, 43, 48, 42, 30, 23, 74, 15, 27, 0)
s = 2: (0, 97, 37, 46, 42, 44, 46, 17, 83, 10, 28, 0)
s = 3: (0, 61, 64, 43, 73, 66, 37, 20, 65, 13, 26, 0)
s = 4: (0, 105, 52, 37, 72, 40, 54, 20, 54, 12, 41, 0)
s = 5: (0, 65, 29, 32, 69, 50, 52, 17, 84, 13, 57, 0)
s = 6: (0, 96, 36, 35, 83, 37, 42, 31, 56, 16, 33, 0)
s = 7: (0, 90, 46, 43, 58, 35, 42, 18, 69, 11, 55, 0)
s = 8: (0, 80, 44, 35, 87, 48, 46, 16, 55, 11, 26, 0)
s = 9: (0, 78, 29, 46, 63, 43, 54, 19, 56, 13, 50, 0)
s = 10: (0, 88, 66, 81, 64, 58, 68, 25, 58, 9, 43, 0)
s = 11: (0, 51, 38, 29, 77, 44, 30, 29, 53, 14, 30, 0)
s = 12: (0, 83, 59, 52, 56, 40, 46, 42, 45, 14, 26, 0)
s = 13: (0, 66, 41, 36, 42, 47, 38, 29, 93, 12, 38, 0)
s = 14: (0, 101, 59, 56, 70, 62, 46, 26, 133, 11, 46, 0)
s = 15: (0, 67, 37, 54, 53, 41, 55, 33, 76, 15, 48, 0)
s = 16: (0, 113, 67, 55, 52, 55, 54, 30, 113, 10, 27, 0)
s = 17: (0, 107, 32, 49, 51, 85, 31, 35, 80, 13, 38, 0)
s = 18: (0, 124, 31, 27, 71, 40, 54, 24, 69, 10, 51, 0)
s = 19: (0, 85, 64, 45, 85, 33, 51, 22, 83, 15, 33, 0)
s = 20: (0, 105, 35, 46, 84, 33, 28, 20, 74, 10, 41, 0)
s = 21: (0, 129, 35, 76, 71, 30, 51, 36, 133, 10, 55, 0)
s = 22: (0, 88, 46, 43, 103, 63, 66, 17, 65, 16, 46, 0)
